#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
fuel_hecf_251_fluoride                            ([no block])                                                                     = Molten HECf-251 Fluoride Fuel
fuel_hecf_251_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of HECf-251 Fluoride Fuel
depleted_fuel_tbu                                 ([no block])                                                                     = Molten Depleted TBU Fuel
depleted_fuel_tbu_fluoride                        ([no block])                                                                     = Molten Depleted TBU Fluoride Fuel
depleted_fuel_tbu_fluoride_flibe                  ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted TBU Fluoride Fuel
depleted_fuel_leu_233                             ([no block])                                                                     = Molten Depleted LEU-233 Fuel
depleted_fuel_leu_233_fluoride                    ([no block])                                                                     = Molten Depleted LEU-233 Fluoride Fuel
depleted_fuel_leu_233_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEU-233 Fluoride Fuel
depleted_fuel_heu_233                             ([no block])                                                                     = Molten Depleted HEU-233 Fuel
depleted_fuel_heu_233_fluoride                    ([no block])                                                                     = Molten Depleted HEU-233 Fluoride Fuel
depleted_fuel_heu_233_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEU-233 Fluoride Fuel
depleted_fuel_leu_235                             ([no block])                                                                     = Molten Depleted LEU-235 Fuel
depleted_fuel_leu_235_fluoride                    ([no block])                                                                     = Molten Depleted LEU-235 Fluoride Fuel
depleted_fuel_leu_235_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEU-235 Fluoride Fuel
depleted_fuel_heu_235                             ([no block])                                                                     = Molten Depleted HEU-235 Fuel
depleted_fuel_heu_235_fluoride                    ([no block])                                                                     = Molten Depleted HEU-235 Fluoride Fuel
depleted_fuel_heu_235_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEU-235 Fluoride Fuel
depleted_fuel_len_236                             ([no block])                                                                     = Molten Depleted LEN-236 Fuel
depleted_fuel_len_236_fluoride                    ([no block])                                                                     = Molten Depleted LEN-236 Fluoride Fuel
depleted_fuel_len_236_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEN-236 Fluoride Fuel
depleted_fuel_hen_236                             ([no block])                                                                     = Molten Depleted HEN-236 Fuel
depleted_fuel_hen_236_fluoride                    ([no block])                                                                     = Molten Depleted HEN-236 Fluoride Fuel
depleted_fuel_hen_236_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEN-236 Fluoride Fuel
depleted_fuel_lep_239                             ([no block])                                                                     = Molten Depleted LEP-239 Fuel
depleted_fuel_lep_239_fluoride                    ([no block])                                                                     = Molten Depleted LEP-239 Fluoride Fuel
depleted_fuel_lep_239_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEP-239 Fluoride Fuel
depleted_fuel_hep_239                             ([no block])                                                                     = Molten Depleted HEP-239 Fuel
depleted_fuel_hep_239_fluoride                    ([no block])                                                                     = Molten Depleted HEP-239 Fluoride Fuel
depleted_fuel_hep_239_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEP-239 Fluoride Fuel
depleted_fuel_lep_241                             ([no block])                                                                     = Molten Depleted LEP-241 Fuel
depleted_fuel_lep_241_fluoride                    ([no block])                                                                     = Molten Depleted LEP-241 Fluoride Fuel
depleted_fuel_lep_241_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEP-241 Fluoride Fuel
depleted_fuel_hep_241                             ([no block])                                                                     = Molten Depleted HEP-241 Fuel
depleted_fuel_hep_241_fluoride                    ([no block])                                                                     = Molten Depleted HEP-241 Fluoride Fuel
depleted_fuel_hep_241_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEP-241 Fluoride Fuel
depleted_fuel_lea_242                             ([no block])                                                                     = Molten Depleted LEA-242 Fuel
depleted_fuel_lea_242_fluoride                    ([no block])                                                                     = Molten Depleted LEA-242 Fluoride Fuel
depleted_fuel_lea_242_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEA-242 Fluoride Fuel
depleted_fuel_hea_242                             ([no block])                                                                     = Molten Depleted HEA-242 Fuel
depleted_fuel_hea_242_fluoride                    ([no block])                                                                     = Molten Depleted HEA-242 Fluoride Fuel
depleted_fuel_hea_242_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEA-242 Fluoride Fuel
depleted_fuel_lecm_243                            ([no block])                                                                     = Molten Depleted LECm-243 Fuel
depleted_fuel_lecm_243_fluoride                   ([no block])                                                                     = Molten Depleted LECm-243 Fluoride Fuel
depleted_fuel_lecm_243_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECm-243 Fluoride Fuel
depleted_fuel_hecm_243                            ([no block])                                                                     = Molten Depleted HECm-243 Fuel
depleted_fuel_hecm_243_fluoride                   ([no block])                                                                     = Molten Depleted HECm-243 Fluoride Fuel
depleted_fuel_hecm_243_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECm-243 Fluoride Fuel
depleted_fuel_lecm_245                            ([no block])                                                                     = Molten Depleted LECm-245 Fuel
depleted_fuel_lecm_245_fluoride                   ([no block])                                                                     = Molten Depleted LECm-245 Fluoride Fuel
depleted_fuel_lecm_245_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECm-245 Fluoride Fuel
depleted_fuel_hecm_245                            ([no block])                                                                     = Molten Depleted HECm-245 Fuel
depleted_fuel_hecm_245_fluoride                   ([no block])                                                                     = Molten Depleted HECm-245 Fluoride Fuel
depleted_fuel_hecm_245_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECm-245 Fluoride Fuel
depleted_fuel_lecm_247                            ([no block])                                                                     = Molten Depleted LECm-247 Fuel
depleted_fuel_lecm_247_fluoride                   ([no block])                                                                     = Molten Depleted LECm-247 Fluoride Fuel
depleted_fuel_lecm_247_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECm-247 Fluoride Fuel
depleted_fuel_hecm_247                            ([no block])                                                                     = Molten Depleted HECm-247 Fuel
depleted_fuel_hecm_247_fluoride                   ([no block])                                                                     = Molten Depleted HECm-247 Fluoride Fuel
depleted_fuel_hecm_247_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECm-247 Fluoride Fuel
depleted_fuel_leb_248                             ([no block])                                                                     = Molten Depleted LEB-248 Fuel
depleted_fuel_leb_248_fluoride                    ([no block])                                                                     = Molten Depleted LEB-248 Fluoride Fuel
depleted_fuel_leb_248_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LEB-248 Fluoride Fuel
depleted_fuel_heb_248                             ([no block])                                                                     = Molten Depleted HEB-248 Fuel
depleted_fuel_heb_248_fluoride                    ([no block])                                                                     = Molten Depleted HEB-248 Fluoride Fuel
depleted_fuel_heb_248_fluoride_flibe              ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HEB-248 Fluoride Fuel
depleted_fuel_lecf_249                            ([no block])                                                                     = Molten Depleted LECf-249 Fuel
depleted_fuel_lecf_249_fluoride                   ([no block])                                                                     = Molten Depleted LECf-249 Fluoride Fuel
depleted_fuel_lecf_249_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECf-249 Fluoride Fuel
depleted_fuel_hecf_249                            ([no block])                                                                     = Molten Depleted HECf-249 Fuel
depleted_fuel_hecf_249_fluoride                   ([no block])                                                                     = Molten Depleted HECf-249 Fluoride Fuel
depleted_fuel_hecf_249_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECf-249 Fluoride Fuel
depleted_fuel_lecf_251                            ([no block])                                                                     = Molten Depleted LECf-251 Fuel
depleted_fuel_lecf_251_fluoride                   ([no block])                                                                     = Molten Depleted LECf-251 Fluoride Fuel
depleted_fuel_lecf_251_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted LECf-251 Fluoride Fuel
depleted_fuel_hecf_251                            ([no block])                                                                     = Molten Depleted HECf-251 Fuel
depleted_fuel_hecf_251_fluoride                   ([no block])                                                                     = Molten Depleted HECf-251 Fluoride Fuel
depleted_fuel_hecf_251_fluoride_flibe             ([no block])                                                                     = Molten FLiBe Salt Solution of Depleted HECf-251 Fluoride Fuel
redstone_nak                                      ([no block])                                                                     = Eutectic NaK-Redstone Mixture
redstone_nak_hot                                  ([no block])                                                                     = Hot Eutectic NaK-Redstone Mixture
quartz                                            ([no block])                                                                     = Molten Quartz
quartz_nak                                        ([no block])                                                                     = Eutectic NaK-Quartz Mixture
quartz_nak_hot                                    ([no block])                                                                     = Hot Eutectic NaK-Quartz Mixture
gold_nak                                          ([no block])                                                                     = Eutectic NaK-Gold Mixture
gold_nak_hot                                      ([no block])                                                                     = Hot Eutectic NaK-Gold Mixture
glowstone_nak                                     ([no block])                                                                     = Eutectic NaK-Glowstone Mixture
glowstone_nak_hot                                 ([no block])                                                                     = Hot Eutectic NaK-Glowstone Mixture
lapis                                             ([no block])                                                                     = Molten Lapis
lapis_nak                                         ([no block])                                                                     = Eutectic NaK-Lapis Mixture
lapis_nak_hot                                     ([no block])                                                                     = Hot Eutectic NaK-Lapis Mixture
diamond                                           ([no block])                                                                     = Molten Diamond
diamond_nak                                       ([no block])                                                                     = Eutectic NaK-Diamond Mixture
diamond_nak_hot                                   ([no block])                                                                     = Hot Eutectic NaK-Diamond Mixture
liquidhelium_nak                                  ([no block])                                                                     = Eutectic NaK-Helium Mixture
liquidhelium_nak_hot                              ([no block])                                                                     = Hot Eutectic NaK-Helium Mixture
ender_nak                                         ([no block])                                                                     = Eutectic NaK-Ender Mixture
ender_nak_hot                                     ([no block])                                                                     = Hot Eutectic NaK-Ender Mixture
cryotheum_nak                                     ([no block])                                                                     = Eutectic NaK-Cryotheum Mixture
cryotheum_nak_hot                                 ([no block])                                                                     = Hot Eutectic NaK-Cryotheum Mixture
iron_nak                                          ([no block])                                                                     = Eutectic NaK-Iron Mixture
iron_nak_hot                                      ([no block])                                                                     = Hot Eutectic NaK-Iron Mixture
emerald                                           ([no block])                                                                     = Molten Emerald
emerald_nak                                       ([no block])                                                                     = Eutectic NaK-Emerald Mixture
emerald_nak_hot                                   ([no block])                                                                     = Hot Eutectic NaK-Emerald Mixture
copper_nak                                        ([no block])                                                                     = Eutectic NaK-Copper Mixture
copper_nak_hot                                    ([no block])                                                                     = Hot Eutectic NaK-Copper Mixture
tin_nak                                           ([no block])                                                                     = Eutectic NaK-Tin Mixture
tin_nak_hot                                       ([no block])                                                                     = Hot Eutectic NaK-Tin Mixture
magnesium                                         (tconstruct:molten_magnesium)                                                    = Molten Magnesium
magnesium_nak                                     ([no block])                                                                     = Eutectic NaK-Magnesium Mixture
magnesium_nak_hot                                 ([no block])                                                                     = Hot Eutectic NaK-Magnesium Mixture
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
glass                                             (tconstruct:molten_glass)                                                        = Molten Glass
blood                                             (tconstruct:blood)                                                               = Blood
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
oilgc                                             ([no block])                                                                     = fluid.oilgc
fuelgc                                            ([no block])                                                                     = fluid.fuelgc
